,Group number,L2 Group,L1 Group,Country,Longitude,Latitude,Reef area,Cell number
286,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-6.872277737,19152,32079
287,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-6.872277737,73144,32080
288,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-6.852421284,369734,32081
289,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-6.852421284,426280,32082
290,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-6.852421284,105612,32083
291,122,Diego Garcia,Southern Banks,Chagos,72.41999816894531,-7.467570305,28272,31232
292,122,Diego Garcia,Southern Banks,Chagos,72.44000244140625,-7.467570305,9485,31233
293,122,Diego Garcia,Southern Banks,Chagos,72.40000153,-7.447739601,173141,31234
294,122,Diego Garcia,Southern Banks,Chagos,72.41999816894531,-7.447739601,1424881,31235
295,122,Diego Garcia,Southern Banks,Chagos,72.44000244140625,-7.447739601,1658998,31236
296,122,Diego Garcia,Southern Banks,Chagos,72.45999908447266,-7.447739601,373278,31237
297,122,Diego Garcia,Southern Banks,Chagos,72.40000153,-7.427908421,173141,31238
298,122,Diego Garcia,Southern Banks,Chagos,72.45999908447266,-7.427908421,961898,31239
299,122,Diego Garcia,Southern Banks,Chagos,72.40000153,-7.408076286,173141,31240
300,122,Diego Garcia,Southern Banks,Chagos,72.41999816894531,-7.408076286,3140582,31241
